,br,inserent_plz,title,inserent_location,clicks7d,label,lat,lng
0,38073246,10318,Technischer Zeichner / Technischer Systemplaner Fachrichtung HLS (m/w/d),Berlin,33,0,52.4810357,13.5186468
1,39993622,38112,Head* of Distribution Logistics,Braunschweig,35,0,52.3073694,10.4762485
2,42568896,80686,Kfz-Mechatroniker als Straßenwachtfahrer (m/w/d),München,55,0,48.1288628,11.5089621
3,38615244,40789,Agile Coach / Scrum Master (m/w/d),Monheim,42,0,51.0966108,6.8974365
4,38885691,44269,Junior Consultant SAP Logistik (w/m/d),Dortmund,44,0,51.4918437,7.5319762
5,41638763,60327,Elektroniker:in (m/w/d) - Energie- und Gebäudetechnik,Frankfurt,24,0,50.1005233,8.6544487
6,35855724,82041,Senior IT Administrator (w/m/x),Oberhaching,34,0,48.0248492,11.5681464
7,43551829,48599,Junior Controller (m/w/d),Gronau,26,0,52.1841199,7.028936099999999
8,41838840,63303,Sales Manager (m/w/d) EMEA - Netzwerktechnik,Dreieich,22,0,50.0295097,8.69492
9,35154676,47228,(Senior) Technology Controller (m/f/d),Duisburg,27,0,51.4237748,6.698690000000001
10,38248760,94469,Gruppenleiter:in (d/m/w) für die Forschungsgruppe Leistungselektronik,Deggendorf,27,0,48.8456799,12.9779283
11,38073502,53119,Sachbearbeiterin / Sachbearbeiter Produktbetreuung und Entwicklung SAP BW/BO (w/m/d),Bonn,32,0,50.74391139999999,7.0627318
12,39157795,6108,Fachingenieur Elektrotechnik (m/w/d),Halle,29,0,51.4872577,11.9600411
13,40375391,55270,Senior Specialist Quality Assurance (m/w/d),Schwabenheim,32,0,49.9479376,8.1582778
14,37970171,64372,Senior Expert (m/w/d) Talent Development,Ober-Ramstadt,25,0,49.8221211,8.749378499999999
15,41115089,60431,Senior Analyst (m/w/d) für den digitalen Zahlungsverkehr,Frankfurt,37,0,50.1475439,8.6491154
16,41250978,30519,Mitarbeiter für die Funktionsstelle IT-Prozesse GKV Stationär (m/w/d),Hannover,36,0,52.3358144,9.7737388
17,36145997,65926,IT-Specialist im Bereich Netzwerkbetrieb und Fehleranalyse (m/w/d),Frankfurt,35,0,,
18,36229622,82024,Systemingenieur*in optische / optronische Systeme (w/m/d),Taufkirchen,35,0,48.0389787,11.6265608
19,40133430,55131,Buchhalter*in (m/w/d),Mainz,63,0,49.9889241,8.2716688
20,38074240,80807,Prozessentwicklungsingenieur*in (d/m/w) Schleifen und Polieren,München,22,0,48.1865394,11.585399
21,38171519,56242,Group Controller International (m/w/div.),Selters,12,0,50.53048260000001,7.7528226
22,42559625,64285,Sachgebietsleitung Umsatzsteuer (m/w/d),Darmstadt,36,0,49.8537341,8.656811
23,36387531,96450,Leiter:in der Außenorganisation,Coburg,38,0,50.255698,10.9550818
24,41904606,46359,Elektroniker für Energie- und Gebäudetechnik (m/w/d),Heiden,27,0,51.826563,6.9348091
25,36796798,24103,Systemkoordinator*in,Kiel,37,0,54.323924,10.1315442
26,39761199,6917,Laborant (w/m/d),Jessen,30,0,51.8346387,12.9829937
27,41249715,90403,"Ingenieur/in bzw. Bachelor (w/m/d) Architektur, Bauingenieurwesen (Hochbau)",Nürnberg,27,0,49.4550067,11.0795156
28,38255839,23558,Bauingenieur oder Architekt (m/w/d) im Bereich Sanierung,Lübeck,22,0,53.8567174,10.657845
29,36557800,65835,Strategischer Einkäufer / Projekteinkäufer für technisches Equipment & Dienstleistungen (m/w/d),Liederbach,32,0,50.1152835,8.4903658
30,38874372,17291,Projektleiter (m/w/d) Power-to-X,Dauerthal,39,0,53.3193989,13.8724781
31,40941300,81735,Kundenbetreuer (m/w/d),München,22,0,48.1091485,11.6463656
32,37319998,73230,Bautechniker (m/w/d) der Fachrichtung Hochbau,Kirchheim unter Teck,20,0,48.6425125,9.4594184
33,38836843,52531,Instandhaltungsplaner (w/m/d),Übach-Palenberg,22,0,50.9253588,6.1177073
34,36911378,54292,Elektroniker (m/w/d) Informationstechnik / Systemtechnik,Trier,25,0,49.7700344,6.6792434
35,42380989,65439,Objektleiter (m/w/d) Sicherheitsdienstleistungen für die Steuerung der kompletten Dienstleistungspalette,Flörsheim,26,0,50.0269987,8.4241522
36,39600152,78532,Kodierfachkraft (m/w/d) für unser Medizincontrolling,Tuttlingen,17,0,47.9709599,8.8117805
37,38824130,81673,Sozialpädagoge (m/w/d) Integrationsprojekt,München,24,0,48.1262953,11.6330728
38,40331063,36251,Manager IT (m/w/d),Bad Hersfeld,41,0,50.880385,9.7058593
39,42260591,71063,Ingenieur als Configuration Manager Luftfahrt (m/w/d),Sindelfingen,56,0,48.7131518,9.0000948
40,37973528,82166,Sachbearbeiter (m/w/d) in der Finanzbuchhaltung,Gräfelfing,41,0,48.1241099,11.4314056
41,39600074,41352,Tiefbauingenieur/-in oder Tiefbautechniker/-in (w/m/d),Korschenbroich,25,0,51.1956517,6.545060899999999
42,42028079,81925,Referent Nachhaltigkeit und Vorstandsangelegenheiten im Ressort Kapitalanlagen (m/w/d),München,50,0,48.1626868,11.6217484
43,37804837,68161,SAP PP Inhouse Consultant (m/w/d),Mannheim,22,0,49.4861656,8.470261599999999
44,42265520,86441,CNC Abkanter (m/w/d),Zusmarshausen,31,0,48.4018024,10.5910754
45,36325868,81377,Personalsachbearbeiter (m/w/d),München,52,0,48.1059924,11.4864487
46,39266630,31515,Elektroniker / Automatisierungstechniker (m/w/d),Wunstorf,26,0,52.42482529999999,9.407641
47,38448991,38239,Referent Konzernrechtsabteilung Schwerpunkt Compliance-Management (w/m/d),Salzgitter,21,0,52.1885109,10.4236635
48,41648040,80331,DevOps Engineer mit Schwerpunkten Development und Operations im Bereich SAP (w/m/d),München,39,0,48.1362105,11.572893
49,37118010,72762,"Heilerziehungspfleger/in, Gesundheits- und Krankenpfleger/in, Altenpfleger/in (m/w/d) oder vergleichbare Qualifikation",Reutlingen,25,0,48.47740109999999,9.1936152
50,38462321,28237,Junior - Technischer Arbeitsplaner (m/w/d),Bremen,28,0,53.1317586,8.7069552
51,40695626,70839,Steuerberater (gn),Gerlingen,17,0,48.7908056,9.0651574
52,41058234,77815,Vertriebsingenieur*in E-Mobilität (m/w/d),Bühl,29,0,48.6824642,8.1500317
53,34782717,71088,Specialist Antenna Technology (m/w/d),Holzgerlingen,2,0,48.6427688,9.0176454
54,42248274,45888,IT-Betreuer*in (w/m/d),Gelsenkirchen,51,0,51.51763219999999,7.1202394
55,38294300,10587,Bauteilverantwortliche:r - Entwicklungsingenieur:in - Steuergeräte-Hardware-Integration,Berlin,12,0,52.51708259999999,13.3236611
56,38913357,65185,Sachbearbeiter (m/w/d) IT-Projektcontrolling und Haushalt,Wiesbaden,50,0,50.0760976,8.240001699999999
57,37878449,24103,Projektleiter*in zum Bau von Mobilitätsstationen (d/m/w),Kiel,24,0,54.323924,10.1315442
58,40120183,95448,Ingenieur Maschinenbau - Offshore Netzbetrieb (m/w/d),Bayreuth,50,0,49.93635690000001,11.61009
59,40513757,79761,Medizinische Fachangestellte (m/w/d) für unseren Zentral-OP,Waldshut-Tiengen,15,0,47.6533265,8.2721269
60,40212383,73033,Vermessungstechniker (m/w/d),Göppingen,33,0,48.7098377,9.6531604
61,37878518,68161,Bilanzbuchhalter (m/w/d),Mannheim,36,0,49.4861656,8.470261599999999
62,38560897,63225,Technischer Redakteur (m/w/d),Langen,29,0,49.9886686,8.6628091
63,39812422,60596,Gesundheits- und Krankenpflegekraft / Altenpflegekraft - Therapiestation der Klinik für Nuklearmedizin,Frankfurt,16,0,50.0990675,8.6738622
